상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
황토집숯불닭갈비,2021-09-18,음식점,37.929044,127.783107,강원,춘천시,신북읍,천전리,10926,46.51,53.49,2.1,1.6,1.66,1.33,93.31,2021-12-21
황소 닭갈비,2021-07-23,음식점,37.858207,127.719461,강원,춘천시,온의동,,1487,69.33,30.67,1.13,1.87,2.13,2.18,92.69,2021-12-21
강촌명물닭갈비,2021-08-28,음식점,37.813116,127.63433,강원,춘천시,남산면,강촌리,1020,68.07,31.93,0.74,1.09,1.09,1.1,95.98,2021-12-21
향토진미닭갈비,2021-08-20,음식점,37.880437,127.764689,강원,춘천시,동면,만천리,1015,71.22,28.78,16.21,14.86,22.78,26.62,19.53,2021-12-21
산골 닭갈비,2021-09-18,음식점,37.813843,127.63382,강원,춘천시,남산면,강촌리,1000,58.84,41.16,8.66,14.63,19.08,24.13,33.5,2021-12-21
촌집닭갈비막국수,2021-08-28,음식점,37.812871,127.634048,강원,춘천시,남산면,강촌리,947,65.63,34.37,1.26,1.62,1.62,1.63,93.87,2021-12-21
강촌막국수닭갈비,2021-09-20,음식점,37.811151,127.636033,강원,춘천시,남산면,강촌리,908,58.15,41.85,8.74,14.71,19.16,24.21,33.18,2021-12-21
남부닭갈비,2021-07-19,음식점,37.870069,127.726615,강원,춘천시,효자동,,867,69.12,30.88,1.15,1.54,1.54,1.42,94.35,2021-12-21
춘천 1호 닭갈비 막국수,2021-09-18,음식점,37.813764,127.633287,강원,춘천시,남산면,강촌리,857,58.34,41.66,9.34,15.31,19.76,24.81,30.78,2021-12-21
비와별닭갈비본점,2021-07-20,음식점,37.849848,127.749035,강원,춘천시,석사동,,787,36.36,63.64,15.22,20.91,19.01,23.21,21.65,2021-12-21
다우 숯붗 닭갈비,2021-09-18,음식점,37.814756,127.634827,강원,춘천시,남산면,강촌리,714,59.46,40.54,8.8,14.77,19.22,24.27,32.94,2021-12-21
공지천우미닭갈비,2021-09-11,음식점,37.873962,127.710782,강원,춘천시,근화동,,713,54.86,45.14,10.13,18.29,30.43,30.82,10.33,2021-12-21
학곡리막국수닭갈비,2021-07-23,음식점,37.850407,127.752982,강원,춘천시,석사동,,705,55.64,44.36,15.24,20.94,19.04,23.1,21.68,2021-12-21
춘천명동닭갈비,2021-08-21,음식점,37.810721,127.636455,강원,춘천시,남산면,강촌리,681,33.06,66.94,9.36,15.2,20.43,24.21,30.8,2021-12-21
9우미닭갈비만천점,2021-07-22,음식점,37.879924,127.761852,강원,춘천시,동면,만천리,680,26.5,73.5,16.45,15.25,22.44,26.06,19.8,2021-12-21
강촌토종닭갈비,2021-08-07,음식점,37.810721,127.636455,강원,춘천시,남산면,강촌리,674,19.98,80.02,9.2,15.04,20.27,24.05,31.44,2021-12-21
근무중이상무숯불닭갈비,2021-10-19,음식점,37.866432,127.752589,강원,춘천시,석사동,,667,54.64,45.36,15.44,21.22,19.18,22.26,21.9,2021-12-21
물갯말닭갈비,2021-09-11,음식점,37.81106,127.635767,강원,춘천시,남산면,강촌리,642,56.95,43.05,9.52,15.49,19.94,24.99,30.06,2021-12-21
부르네숯불닭갈비,2021-08-21,음식점,37.810787,127.636342,강원,춘천시,남산면,강촌리,605,32.46,67.54,9.25,15.08,20.31,24.09,31.27,2021-12-21
춘천명품닭갈비,2021-10-29,음식점,37.867153,127.753808,강원,춘천시,석사동,,595,56.44,43.56,15.54,21.32,19.28,21.89,21.97,2021-12-21
옹달샘막국수닭갈비,2021-09-21,음식점,37.840799,127.764558,강원,춘천시,동내면,사암리,588,55.66,44.34,12.93,18.57,25.1,22.98,20.42,2021-12-21
동서닭갈비,2021-09-22,음식점,37.853689,127.754489,강원,춘천시,동내면,거두리,585,57.24,42.76,13.28,18.92,25.43,21.6,20.77,2021-12-21
원조중앙닭갈비,2021-10-06,음식점,37.809505,127.636073,강원,춘천시,남산면,강촌리,579,54.4,45.6,10.41,16.23,21.32,25.49,26.55,2021-12-21
우미닭갈비,2021-11-03,음식점,37.879575,127.728062,강원,춘천시,조양동,,574,57.19,42.81,13,20.52,23.87,20.82,21.79,2021-12-21
명품참숯불닭갈비,2021-09-11,음식점,37.806657,127.636557,강원,춘천시,남산면,방곡리,571,57.25,42.75,8.73,14.69,19.14,24.19,33.25,2021-12-21
새명동우미닭갈비,2021-11-07,음식점,37.879256,127.72939,강원,춘천시,조양동,,559,56.81,43.19,12.97,20.5,23.85,20.91,21.77,2021-12-21
참나무숯불닭갈비막국수,2021-09-06,음식점,37.930541,127.789017,강원,춘천시,신북읍,천전리,552,55.92,44.08,10.55,18.83,21.41,24.13,25.08,2021-12-21
춘천꼬꼬닭갈비,2021-07-20,기타시설,37.890282,127.745014,강원,춘천시,후평동,,551,32.38,67.62,13.62,21.18,22.35,22.77,20.08,2021-12-21
비와별닭갈비애막골점,2021-10-11,음식점,37.867194,127.753523,강원,춘천시,석사동,,546,56.02,43.98,15.5,21.28,19.24,22.02,21.96,2021-12-21
새명동우미닭갈비본점,2021-11-07,음식점,37.879201,127.729405,강원,춘천시,조양동,,497,55.92,44.08,12.58,20.11,23.45,22.48,21.38,2021-12-21
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
